serum,virus,replicate,concentration,fraction infectivity
FI6v3,WT,1,0.00020480599999999998,1.013733759
FI6v3,WT,1,0.00047788,0.942012318
FI6v3,WT,1,0.0011150539999999999,0.9928501470000001
FI6v3,WT,1,0.002601793,0.9662063790000001
FI6v3,WT,1,0.0060708509999999995,0.956702807
FI6v3,WT,1,0.014165319,0.586331093
FI6v3,WT,1,0.033052412,0.169448897
FI6v3,WT,1,0.07712229400000001,0.01413204
FI6v3,WT,1,0.17995202,-0.025386138
FI6v3,WT,1,0.41988804700000004,-0.032550312000000005
FI6v3,WT,1,0.9797387759999999,-0.03666997
FI6v3,WT,1,2.2860571430000003,-0.028769798
FI6v3,WT,2,0.00020480599999999998,0.9108160470000001
FI6v3,WT,2,0.00047788,0.8937105470000001
FI6v3,WT,2,0.0011150539999999999,0.941772772
FI6v3,WT,2,0.002601793,0.9369568090000001
FI6v3,WT,2,0.0060708509999999995,0.899116823
FI6v3,WT,2,0.014165319,0.702771555
FI6v3,WT,2,0.033052412,0.184786093
FI6v3,WT,2,0.07712229400000001,0.018434929
FI6v3,WT,2,0.17995202,-0.026296035
FI6v3,WT,2,0.41988804700000004,-0.032365891
FI6v3,WT,2,0.9797387759999999,-0.035777998
FI6v3,WT,2,2.2860571430000003,-0.033282708
FI6v3,WT,3,0.00020480599999999998,0.971335765
FI6v3,WT,3,0.00047788,1.017966214
FI6v3,WT,3,0.0011150539999999999,0.908961802
FI6v3,WT,3,0.002601793,0.808664578
FI6v3,WT,3,0.0060708509999999995,0.885665733
FI6v3,WT,3,0.014165319,0.556199763
FI6v3,WT,3,0.033052412,0.16816668699999998
FI6v3,WT,3,0.07712229400000001,0.012064965
FI6v3,WT,3,0.17995202,-0.03325675
FI6v3,WT,3,0.41988804700000004,-0.043338943
FI6v3,WT,3,0.9797387759999999,-0.038949455
FI6v3,WT,3,2.2860571430000003,-0.035018442000000004
FI6v3,K(-8T),1,0.00020480599999999998,1.095014846
FI6v3,K(-8T),1,0.00047788,1.197988897
FI6v3,K(-8T),1,0.0011150539999999999,1.114109781
FI6v3,K(-8T),1,0.002601793,1.0361025640000001
FI6v3,K(-8T),1,0.0060708509999999995,0.927214208
FI6v3,K(-8T),1,0.014165319,0.9192088890000001
FI6v3,K(-8T),1,0.033052412,0.433306674
FI6v3,K(-8T),1,0.07712229400000001,0.11345230000000002
FI6v3,K(-8T),1,0.17995202,0.010047864
FI6v3,K(-8T),1,0.41988804700000004,-0.022421525
FI6v3,K(-8T),1,0.9797387759999999,-0.029251985
FI6v3,K(-8T),1,2.2860571430000003,-0.030632213999999998
FI6v3,K(-8T),2,0.00020480599999999998,1.088711778
FI6v3,K(-8T),2,0.00047788,1.117083901
FI6v3,K(-8T),2,0.0011150539999999999,1.100778345
FI6v3,K(-8T),2,0.002601793,1.08225641
FI6v3,K(-8T),2,0.0060708509999999995,0.9581200559999999
FI6v3,K(-8T),2,0.014165319,0.869191707
FI6v3,K(-8T),2,0.033052412,0.391006843
FI6v3,K(-8T),2,0.07712229400000001,0.0988849
FI6v3,K(-8T),2,0.17995202,0.003909533
FI6v3,K(-8T),2,0.41988804700000004,-0.023355755
FI6v3,K(-8T),2,0.9797387759999999,-0.030565339
FI6v3,K(-8T),2,2.2860571430000003,-0.035105236
FI6v3,K(-8T),3,0.00020480599999999998,1.100692817
FI6v3,K(-8T),3,0.00047788,1.051639258
FI6v3,K(-8T),3,0.0011150539999999999,1.073709025
FI6v3,K(-8T),3,0.002601793,1.025969231
FI6v3,K(-8T),3,0.0060708509999999995,0.9148441140000001
FI6v3,K(-8T),3,0.014165319,0.799969455
FI6v3,K(-8T),3,0.033052412,0.348707011
FI6v3,K(-8T),3,0.07712229400000001,0.118412153
FI6v3,K(-8T),3,0.17995202,-0.003215317
FI6v3,K(-8T),3,0.41988804700000004,-0.02593423
FI6v3,K(-8T),3,0.9797387759999999,-0.029411179
FI6v3,K(-8T),3,2.2860571430000003,-0.034426295
FI6v3,P80D,1,0.00020480599999999998,1.149894714
FI6v3,P80D,1,0.00047788,1.113168812
