serum,virus,replicate,concentration,fraction infectivity
FI6v3,G47R-HA2,1,0.000204806,1.274750793
FI6v3,G47R-HA2,1,0.00047788,1.033222591
FI6v3,G47R-HA2,1,0.001115054,1.041171759
FI6v3,G47R-HA2,1,0.002601793,1.04863322
FI6v3,G47R-HA2,1,0.006070851,1.047210098
FI6v3,G47R-HA2,1,0.014165319,0.862240192
FI6v3,G47R-HA2,1,0.033052412,0.551025611
FI6v3,G47R-HA2,1,0.07712229400000001,0.07689193
FI6v3,G47R-HA2,1,0.17995202,0.00227377
FI6v3,G47R-HA2,1,0.419888047,-0.01731511
FI6v3,G47R-HA2,1,0.979738776,-0.020293022
FI6v3,G47R-HA2,1,2.2860571430000003,-0.020418625
FI6v3,G47R-HA2,2,0.000204806,1.127548709
FI6v3,G47R-HA2,2,0.00047788,1.018340691
FI6v3,G47R-HA2,2,0.001115054,1.051424648
FI6v3,G47R-HA2,2,0.002601793,1.010429246
FI6v3,G47R-HA2,2,0.006070851,1.136156659
FI6v3,G47R-HA2,2,0.014165319,0.8406115679999999
FI6v3,G47R-HA2,2,0.033052412,0.594970448
FI6v3,G47R-HA2,2,0.07712229400000001,0.079442847
FI6v3,G47R-HA2,2,0.17995202,-0.00853661
FI6v3,G47R-HA2,2,0.419888047,-0.019579071
FI6v3,G47R-HA2,2,0.979738776,-0.024931427000000003
FI6v3,G47R-HA2,2,2.2860571430000003,-0.024476719
FI6v3,G47R-HA2,3,0.000204806,1.148787947
FI6v3,G47R-HA2,3,0.00047788,1.0238019390000002
FI6v3,G47R-HA2,3,0.001115054,1.0062478540000002
FI6v3,G47R-HA2,3,0.002601793,0.988780327
FI6v3,G47R-HA2,3,0.006070851,1.045133892
FI6v3,G47R-HA2,3,0.014165319,0.795116877
FI6v3,G47R-HA2,3,0.033052412,0.569011473
FI6v3,G47R-HA2,3,0.07712229400000001,0.063934891
FI6v3,G47R-HA2,3,0.17995202,-0.010571035
FI6v3,G47R-HA2,3,0.419888047,-0.02150763
FI6v3,G47R-HA2,3,0.979738776,-0.025734228
FI6v3,G47R-HA2,3,2.2860571430000003,-0.027637762000000003
FI6v3,K(-8T),1,0.000204806,1.095014846
FI6v3,K(-8T),1,0.00047788,1.197988897
FI6v3,K(-8T),1,0.001115054,1.114109781
FI6v3,K(-8T),1,0.002601793,1.036102564
FI6v3,K(-8T),1,0.006070851,0.927214208
FI6v3,K(-8T),1,0.014165319,0.919208889
FI6v3,K(-8T),1,0.033052412,0.433306674
FI6v3,K(-8T),1,0.07712229400000001,0.11345230000000002
FI6v3,K(-8T),1,0.17995202,0.010047864
FI6v3,K(-8T),1,0.419888047,-0.022421525
FI6v3,K(-8T),1,0.979738776,-0.029251985
FI6v3,K(-8T),1,2.2860571430000003,-0.030632214
FI6v3,K(-8T),2,0.000204806,1.088711778
FI6v3,K(-8T),2,0.00047788,1.117083901
FI6v3,K(-8T),2,0.001115054,1.100778345
FI6v3,K(-8T),2,0.002601793,1.08225641
FI6v3,K(-8T),2,0.006070851,0.958120056
FI6v3,K(-8T),2,0.014165319,0.869191707
FI6v3,K(-8T),2,0.033052412,0.391006843
FI6v3,K(-8T),2,0.07712229400000001,0.0988849
FI6v3,K(-8T),2,0.17995202,0.003909533
FI6v3,K(-8T),2,0.419888047,-0.023355755
FI6v3,K(-8T),2,0.979738776,-0.030565339
FI6v3,K(-8T),2,2.2860571430000003,-0.035105236
FI6v3,K(-8T),3,0.000204806,1.100692817
FI6v3,K(-8T),3,0.00047788,1.051639258
FI6v3,K(-8T),3,0.001115054,1.073709025
FI6v3,K(-8T),3,0.002601793,1.025969231
FI6v3,K(-8T),3,0.006070851,0.914844114
FI6v3,K(-8T),3,0.014165319,0.799969455
FI6v3,K(-8T),3,0.033052412,0.348707011
FI6v3,K(-8T),3,0.07712229400000001,0.118412153
FI6v3,K(-8T),3,0.17995202,-0.003215317
FI6v3,K(-8T),3,0.419888047,-0.02593423
FI6v3,K(-8T),3,0.979738776,-0.029411179
FI6v3,K(-8T),3,2.2860571430000003,-0.034426295
FI6v3,K280A,1,0.000204806,1.204890528
FI6v3,K280A,1,0.00047788,1.002645091
FI6v3,K280A,1,0.001115054,1.142165534
FI6v3,K280A,1,0.002601793,0.906558257
FI6v3,K280A,1,0.006070851,0.695169713
FI6v3,K280A,1,0.014165319,0.390708708
FI6v3,K280A,1,0.033052412,0.07143443
FI6v3,K280A,1,0.07712229400000001,-0.011881663
FI6v3,K280A,1,0.17995202,-0.031063951
FI6v3,K280A,1,0.419888047,-0.034426947
FI6v3,K280A,1,0.979738776,-0.036490048
FI6v3,K280A,1,2.2860571430000003,-0.02907249
FI6v3,K280A,2,0.000204806,1.21399382
FI6v3,K280A,2,0.00047788,1.010735958
FI6v3,K280A,2,0.001115054,1.117260963
FI6v3,K280A,2,0.002601793,0.836848405
FI6v3,K280A,2,0.006070851,0.824238468
FI6v3,K280A,2,0.014165319,0.450252051
FI6v3,K280A,2,0.033052412,0.065980481
FI6v3,K280A,2,0.07712229400000001,-0.015682196000000002
FI6v3,K280A,2,0.17995202,-0.033304774
FI6v3,K280A,2,0.419888047,-0.032020997
FI6v3,K280A,2,0.979738776,-0.038171408
FI6v3,K280A,2,2.2860571430000003,-0.034520921
FI6v3,K280A,3,0.000204806,1.054852321
FI6v3,K280A,3,0.00047788,0.933650448
FI6v3,K280A,3,0.001115054,1.002513732
FI6v3,K280A,3,0.002601793,0.826736555
FI6v3,K280A,3,0.006070851,0.67689295
FI6v3,K280A,3,0.014165319,0.393357715
FI6v3,K280A,3,0.033052412,0.06913803
FI6v3,K280A,3,0.07712229400000001,-0.01464205
FI6v3,K280A,3,0.17995202,-0.037654606
FI6v3,K280A,3,0.419888047,-0.036745407
FI6v3,K280A,3,0.979738776,-0.034581478
FI6v3,K280A,3,2.2860571430000003,-0.03618099
FI6v3,K280S,1,0.000204806,0.999528968
FI6v3,K280S,1,0.00047788,0.856457053
FI6v3,K280S,1,0.001115054,1.007491299
FI6v3,K280S,1,0.002601793,1.009994614
FI6v3,K280S,1,0.006070851,0.990288281
FI6v3,K280S,1,0.014165319,0.925185037
FI6v3,K280S,1,0.033052412,0.591724322
FI6v3,K280S,1,0.07712229400000001,0.23056481
FI6v3,K280S,1,0.17995202,0.039519159
FI6v3,K280S,1,0.419888047,-0.006812355
FI6v3,K280S,1,0.979738776,-0.025898024
FI6v3,K280S,1,2.2860571430000003,-0.029754631
FI6v3,K280S,2,0.000204806,1.05461487
FI6v3,K280S,2,0.00047788,0.943406377
FI6v3,K280S,2,0.001115054,0.934387227
FI6v3,K280S,2,0.002601793,1.007640593
FI6v3,K280S,2,0.006070851,0.982764577
FI6v3,K280S,2,0.014165319,0.950070014
FI6v3,K280S,2,0.033052412,0.621266701
FI6v3,K280S,2,0.07712229400000001,0.24293987
FI6v3,K280S,2,0.17995202,0.053117956
FI6v3,K280S,2,0.419888047,-0.009358025
FI6v3,K280S,2,0.979738776,-0.025111912000000004
FI6v3,K280S,2,2.2860571430000003,-0.02808651
FI6v3,K280S,3,0.000204806,0.9980415
FI6v3,K280S,3,0.00047788,0.879384195
FI6v3,K280S,3,0.001115054,0.93985332
FI6v3,K280S,3,0.002601793,0.967422746
FI6v3,K280S,3,0.006070851,0.930252198
FI6v3,K280S,3,0.014165319,0.912222444
FI6v3,K280S,3,0.033052412,0.604494254
FI6v3,K280S,3,0.07712229400000001,0.288751388
FI6v3,K280S,3,0.17995202,0.0459429
FI6v3,K280S,3,0.419888047,-0.009178753
FI6v3,K280S,3,0.979738776,-0.026465771000000003
FI6v3,K280S,3,2.2860571430000003,-0.029405489
FI6v3,K280T,1,0.000204806,1.011395785
FI6v3,K280T,1,0.00047788,1.074491856
FI6v3,K280T,1,0.001115054,0.990065734
FI6v3,K280T,1,0.002601793,0.991787597
FI6v3,K280T,1,0.006070851,0.95401647
FI6v3,K280T,1,0.014165319,0.854565603
FI6v3,K280T,1,0.033052412,0.565048333
FI6v3,K280T,1,0.07712229400000001,0.224687195
FI6v3,K280T,1,0.17995202,0.031881714
FI6v3,K280T,1,0.419888047,-0.016471589
FI6v3,K280T,1,0.979738776,-0.035012522000000004
FI6v3,K280T,1,2.2860571430000003,-0.033276562
FI6v3,K280T,2,0.000204806,0.968298035
FI6v3,K280T,2,0.00047788,1.068999865
FI6v3,K280T,2,0.001115054,0.915978846
FI6v3,K280T,2,0.002601793,1.030983155
FI6v3,K280T,2,0.006070851,0.916403893
FI6v3,K280T,2,0.014165319,0.842863475
FI6v3,K280T,2,0.033052412,0.506310416
FI6v3,K280T,2,0.07712229400000001,0.197399947
FI6v3,K280T,2,0.17995202,0.024026799
FI6v3,K280T,2,0.419888047,-0.026094935
FI6v3,K280T,2,0.979738776,-0.036938933
FI6v3,K280T,2,2.2860571430000003,-0.035853094
FI6v3,K280T,3,0.000204806,1.075328521
FI6v3,K280T,3,0.00047788,1.164463589
FI6v3,K280T,3,0.001115054,1.036870459
FI6v3,K280T,3,0.002601793,1.024870515
FI6v3,K280T,3,0.006070851,1.007962614
FI6v3,K280T,3,0.014165319,0.778191489
FI6v3,K280T,3,0.033052412,0.498837841
FI6v3,K280T,3,0.07712229400000001,0.205297719
FI6v3,K280T,3,0.17995202,0.021023449
FI6v3,K280T,3,0.419888047,-0.026453013
FI6v3,K280T,3,0.979738776,-0.040021191
FI6v3,K280T,3,2.2860571430000003,-0.036857505
FI6v3,M17L-HA2,1,0.000204806,0.964702573
FI6v3,M17L-HA2,1,0.00047788,1.220242488
FI6v3,M17L-HA2,1,0.001115054,0.993344117
FI6v3,M17L-HA2,1,0.002601793,1.025104477
FI6v3,M17L-HA2,1,0.006070851,0.782884239
FI6v3,M17L-HA2,1,0.014165319,0.645998355
FI6v3,M17L-HA2,1,0.033052412,0.257446409
FI6v3,M17L-HA2,1,0.07712229400000001,0.050726158
FI6v3,M17L-HA2,1,0.17995202,-0.010904818
FI6v3,M17L-HA2,1,0.419888047,-0.020841703
FI6v3,M17L-HA2,1,0.979738776,-0.030833537
FI6v3,M17L-HA2,1,2.2860571430000003,-0.030795512
FI6v3,M17L-HA2,2,0.000204806,0.911770496
FI6v3,M17L-HA2,2,0.00047788,1.010490248
FI6v3,M17L-HA2,2,0.001115054,1.01180027
FI6v3,M17L-HA2,2,0.002601793,1.108325065
FI6v3,M17L-HA2,2,0.006070851,0.903521586
FI6v3,M17L-HA2,2,0.014165319,0.761640616
FI6v3,M17L-HA2,2,0.033052412,0.238911269
FI6v3,M17L-HA2,2,0.07712229400000001,0.0406089
FI6v3,M17L-HA2,2,0.17995202,-0.017767333
FI6v3,M17L-HA2,2,0.419888047,-0.019736842
FI6v3,M17L-HA2,2,0.979738776,-0.02877073
FI6v3,M17L-HA2,2,2.2860571430000003,-0.03278083
FI6v3,M17L-HA2,3,0.000204806,0.984559134
FI6v3,M17L-HA2,3,0.00047788,0.999947285
FI6v3,M17L-HA2,3,0.001115054,0.972395322
